season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score
2017,98,ECU,AAC,1316.4,3,9,12,0.25,3-9,UConn,1226.2,1649.2,NA,2026-05-24T09:10:53Z,3561.3
2017,99,Arkansas State,Sun Belt,1308.4,7,5,12,0.583,7-5,New Mexico St,1233.8,1154.8,NA,2026-05-24T09:10:53Z,6920.1
2017,100,Miami (OH),MAC,1295.3,5,7,12,0.417,5-7,Buffalo,1398.4,1288.3,NA,2026-05-24T09:10:53Z,5913.2
2017,101,Colorado State,Mountain West,1293.3,7,6,13,0.538,7-6,Utah State,1277.7,1293.8,NA,2026-05-24T09:10:53Z,6859.2
2017,102,E Michigan,MAC,1283.8,5,7,12,0.417,5-7,Rutgers,1377.4,1324.7,NA,2026-05-24T09:10:53Z,5227.9
2017,103,Tennessee,SEC,1281.4,4,8,12,0.333,4-8,Georgia Tech,1730.1,1620.4,NA,2026-05-24T09:10:53Z,4666.2
2017,104,Utah State,Mountain West,1277.7,6,7,13,0.462,6-7,UNLV,1161.2,1325.5,NA,2026-05-24T09:10:53Z,5900.6
2017,105,UAB,C-USA,1275.1,8,5,13,0.615,8-5,LA Tech,1531.8,1112.9,NA,2026-05-24T09:10:53Z,8458.4
2017,106,Tulsa,AAC,1260.8,2,10,12,0.167,2-10,Houston,1634.8,1557.4,NA,2026-05-24T09:10:53Z,2720.6
2017,107,Southern Miss,Sun Belt,1255.5,8,5,13,0.615,8-5,LA Tech,1531.8,1190.4,NA,2026-05-24T09:10:53Z,8040.8
2017,108,Villanova,FCS,1245.6,1,2,3,0.333,1-2,Delaware,1037.8,1484.5,NA,2026-05-24T09:10:53Z,1037.8
2017,109,New Mexico St,WAC,1233.8,7,6,13,0.538,7-6,Utah State,1277.7,1213.5,NA,2026-05-24T09:10:53Z,6998.2
2017,110,UTSA,C-USA,1231.1,6,5,11,0.545,6-5,Marshall,1466.9,1134.7,NA,2026-05-24T09:10:53Z,5521.9
2017,111,UConn,AAC,1226.2,3,9,12,0.25,3-9,Temple,1643.8,1524.4,NA,2026-05-24T09:10:53Z,3086.5
2017,112,Georgia State,Sun Belt,1208.9,7,5,12,0.583,7-5,W Kentucky,1107.7,1200.3,NA,2026-05-24T09:10:53Z,6651.9
2017,113,Nevada,Mountain West,1192.2,3,9,12,0.25,3-9,UNLV,1161.2,1394.1,NA,2026-05-24T09:10:53Z,2871.4
2017,114,Cincinnati,AAC,1189.2,4,8,12,0.333,4-8,Tulane,1476.5,1555.2,NA,2026-05-24T09:10:53Z,4911.5
2017,115,Monmouth,FCS,1186,1,1,2,0.5,1-1,Liberty,1025.3,1260.7,NA,2026-05-24T09:10:53Z,1025.3
2017,116,Samford,FCS,1165.4,1,2,3,0.333,1-2,Kennesaw St,1496,1776,NA,2026-05-24T09:10:53Z,1496
2017,117,UNLV,Mountain West,1161.2,5,7,12,0.417,5-7,Fresno State,1784.6,1286.2,NA,2026-05-24T09:10:53Z,5714.6
